osmid,y,x,highway,street_count,junction,geometry
392576248,13.04846,80.1694761,,4,,POINT (80.1694761 13.04846)
392576250,13.0476685,80.1707942,,1,,POINT (80.1707942 13.0476685)
392576251,13.0484248,80.1671452,,1,,POINT (80.1671452 13.0484248)
392576252,13.0483902,80.1655811,,3,,POINT (80.1655811 13.0483902)
392576253,13.0482286,80.166125,,3,,POINT (80.166125 13.0482286)
392576254,13.0481624,80.1667427,,3,,POINT (80.1667427 13.0481624)
392576256,13.0476566,80.1692839,,4,,POINT (80.1692839 13.0476566)
392576257,13.0479107,80.167753,,4,,POINT (80.167753 13.0479107)
392576259,13.0472543,80.1691962,,4,,POINT (80.1691962 13.0472543)
392576261,13.0475199,80.167647,,4,,POINT (80.167647 13.0475199)
392576262,13.0473993,80.1659096,,1,,POINT (80.1659096 13.0473993)
392576263,13.0468624,80.1691126,,4,,POINT (80.1691126 13.0468624)
392576265,13.0472723,80.1707026,,1,,POINT (80.1707026 13.0472723)
392576266,13.0463464,80.1650359,,3,,POINT (80.1650359 13.0463464)
392576268,13.0459587,80.1669746,,1,,POINT (80.1669746 13.0459587)
392576270,13.0455608,80.1661935,,1,,POINT (80.1661935 13.0455608)
392576272,13.0454907,80.1672759,,4,,POINT (80.1672759 13.0454907)
392576273,13.045823,80.1673115,,3,,POINT (80.1673115 13.045823)
392576274,13.0451238,80.1687652,,3,,POINT (80.1687652 13.0451238)
392576275,13.0449388,80.1701178,,4,,POINT (80.1701178 13.0449388)
392576276,13.0447414,80.172802,,3,,POINT (80.172802 13.0447414)
392576277,13.0438907,80.1731786,,4,,POINT (80.1731786 13.0438907)
392576279,13.0466025,80.1735043,,3,,POINT (80.1735043 13.0466025)
392576280,13.0467384,80.1724579,,1,,POINT (80.1724579 13.0467384)
392576281,13.0460516,80.1741103,,1,,POINT (80.1741103 13.0460516)
392576282,13.0462562,80.1722631,,1,,POINT (80.1722631 13.0462562)
392576283,13.0461216,80.1734479,,4,,POINT (80.1734479 13.0461216)
392576284,13.04589,80.1712775,,1,,POINT (80.1712775 13.04589)
392576285,13.045651,80.1733994,,4,,POINT (80.1733994 13.045651)
392576286,13.0457661,80.1721607,,3,,POINT (80.1721607 13.0457661)
392576287,13.0448237,80.1720584,,3,,POINT (80.1720584 13.0448237)
392576289,13.0453676,80.1721177,,3,,POINT (80.1721177 13.0453676)
392576290,13.045222,80.1733544,,4,,POINT (80.1733544 13.045222)
392576292,13.044339,80.1732486,,3,,POINT (80.1732486 13.044339)
392576293,13.0452707,80.1728555,,3,,POINT (80.1728555 13.0452707)
392576294,13.0447752,80.1724569,,3,,POINT (80.1724569 13.0447752)
392576295,13.0453299,80.1725216,,3,,POINT (80.1725216 13.0453299)
392576296,13.0451666,80.1740269,,3,,POINT (80.1740269 13.0451666)
392576297,13.0455948,80.1741037,,3,,POINT (80.1741037 13.0455948)
392576299,13.044757,80.1733006,,4,,POINT (80.1733006 13.044757)
392576300,13.044693,80.1739458,,3,,POINT (80.1739458 13.044693)
392576303,13.0445598,80.1747027,,3,,POINT (80.1747027 13.0445598)
392576305,13.0456961,80.1755011,,1,,POINT (80.1755011 13.0456961)
392576306,13.0457248,80.1748419,,3,,POINT (80.1748419 13.0457248)
392576308,13.0441936,80.1746704,,3,,POINT (80.1746704 13.0441936)
392576309,13.0438058,80.1739541,,3,,POINT (80.1739541 13.0438058)
392576310,13.0439674,80.1726347,,3,,POINT (80.1726347 13.0439674)
392576312,13.0442367,80.1726724,,3,,POINT (80.1726724 13.0442367)
392576313,13.0448112,80.1728213,,3,,POINT (80.1728213 13.0448112)
392576314,13.0445381,80.1700559,,4,,POINT (80.1700559 13.0445381)
392576315,13.0441251,80.1671443,,3,,POINT (80.1671443 13.0441251)
392576319,13.0438073,80.1726877,,3,,POINT (80.1726877 13.0438073)
392576320,13.0441436,80.1699874,,4,,POINT (80.1699874 13.0441436)
392576321,13.0434115,80.1726326,,3,,POINT (80.1726326 13.0434115)
392576322,13.0437577,80.1699469,,4,,POINT (80.1699469 13.0437577)
392576323,13.0443445,80.1685213,,3,,POINT (80.1685213 13.0443445)
392576324,13.0439645,80.1684719,,4,,POINT (80.1684719 13.0439645)
392576326,13.0435417,80.1684238,,3,,POINT (80.1684238 13.0435417)
392576329,13.0431675,80.1677551,,1,,POINT (80.1677551 13.0431675)
392576330,13.043114,80.1683826,,3,,POINT (80.1683826 13.043114)
392576331,13.0427889,80.1677079,,1,,POINT (80.1677079 13.0427889)
392576332,13.0427291,80.1683408,,3,,POINT (80.1683408 13.0427291)
392576333,13.042826,80.169816,,3,,POINT (80.169816 13.042826)
392576334,13.042982,80.1683683,,3,,POINT (80.1683683 13.042982)
392576336,13.043488,80.1684231,,3,,POINT (80.1684231 13.043488)
392576337,13.0442455,80.1692242,,3,,POINT (80.1692242 13.0442455)
392576338,13.0434098,80.1690933,,3,,POINT (80.1690933 13.0434098)
392576339,13.0438617,80.1691554,,4,,POINT (80.1691554 13.0438617)
392576340,13.0447052,80.1687033,,3,,POINT (80.1687033 13.0447052)
392576341,13.0440732,80.1705179,,4,,POINT (80.1705179 13.0440732)
392576342,13.0426442,80.1703289,,1,,POINT (80.1703289 13.0426442)
392576343,13.0432327,80.1704046,,3,,POINT (80.1704046 13.0432327)
392576344,13.0436837,80.1704734,,3,,POINT (80.1704734 13.0436837)
392576346,13.0415521,80.1700175,,3,,POINT (80.1700175 13.0415521)
392576348,13.0425241,80.1701412,,1,,POINT (80.1701412 13.0425241)
392576349,13.0415172,80.170605,,3,,POINT (80.170605 13.0415172)
392576351,13.0431967,80.1707688,,3,,POINT (80.1707688 13.0431967)
392576352,13.0415009,80.1709383,,3,,POINT (80.1709383 13.0415009)
392576354,13.0424379,80.1710514,,1,,POINT (80.1710514 13.0424379)
392576355,13.0424487,80.1711914,,1,,POINT (80.1711914 13.0424487)
